,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
0,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-09,6,B,bonnes,1,0.6,8,47.5820893,-3.1388699
1,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-09,9,B,bonnes,1,0.6,8,47.5820893,-3.1388699
2,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-09,12,C,bonnes,1,0.6,9,47.5820893,-3.1388699
3,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-09,15,B,bonnes,1,0.6,8,47.5820893,-3.1388699
4,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-09,18,C,bonnes,1,0.6,9,47.5820893,-3.1388699
5,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-09,21,B,bonnes,1,0.6,8,47.5820893,-3.1388699
6,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-10,6,B,bonnes,1,0.6,8,47.5820893,-3.1388699
7,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-10,9,D,bonnes,1,0.6,10,47.5820893,-3.1388699
8,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-10,12,D,bonnes,1,0.6,10,47.5820893,-3.1388699
9,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-10,15,D,bonnes,1,0.6,10,47.5820893,-3.1388699
10,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-10,18,D,bonnes,1,0.6,10,47.5820893,-3.1388699
11,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-10,21,D,bonnes,1,0.6,10,47.5820893,-3.1388699
12,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-11,6,D,bonnes,1,0.6,10,47.5820893,-3.1388699
13,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-11,9,D,bonnes,1,0.6,10,47.5820893,-3.1388699
14,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-11,12,C,bonnes,2,0.6,6,47.5820893,-3.1388699
15,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-11,15,C,bonnes,2,0.6,6,47.5820893,-3.1388699
16,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-11,18,D,bonnes,2,0.6,10,47.5820893,-3.1388699
17,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-11,21,C,bonnes,2,0.6,6,47.5820893,-3.1388699
18,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-12,6,D,bonnes,3,0.6,10,47.5820893,-3.1388699
19,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-12,9,D,bonnes,3,0.6,10,47.5820893,-3.1388699
20,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-12,12,D,bonnes,3,0.6,10,47.5820893,-3.1388699
21,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-12,15,D,bonnes,3,0.6,10,47.5820893,-3.1388699
22,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-12,18,D,bonnes,2,0.6,10,47.5820893,-3.1388699
23,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-12,21,D,bonnes,2,0.6,10,47.5820893,-3.1388699
24,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-13,6,D,bonnes,2,0.6,10,47.5820893,-3.1388699
25,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-13,9,D,bonnes,2,0.6,10,47.5820893,-3.1388699
26,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-13,12,D,bonnes,2,0.6,10,47.5820893,-3.1388699
27,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-13,15,D,bonnes,2,0.6,10,47.5820893,-3.1388699
28,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-13,18,D,bonnes,2,0.6,10,47.5820893,-3.1388699
29,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-13,21,D,bonnes,2,0.6,10,47.5820893,-3.1388699
30,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-14,6,C,bonnes,1,0.6,9,47.5820893,-3.1388699
31,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-14,9,B,bonnes,1,0.6,8,47.5820893,-3.1388699
